"alpha_hat","beta_1_hat","beta_2_hat","alpha_se","beta_1_se","beta_2_se","method","n_obs","p_c","alpha","beta_1","beta_2","model","index"
1.2293304678595,0.454189202793309,-0.647824956487815,0.197518733904415,0.100102768006707,0.104040699448203,"itt",200,1,1,0.5,-0.7,"logit",1
1.2293304678595,0.454189202793307,-0.647824956487813,0.197518733904415,0.100102768006706,0.104040699448203,"pp",200,1,1,0.5,-0.7,"logit",1
1.2293304678595,0.454189202793308,-0.647824956487814,0.197518733904415,0.100102768006706,0.104040699448203,"iv",200,1,1,0.5,-0.7,"logit",1
0.982594717607038,0.410056620723668,-0.73547839273152,0.198847330015258,0.102361031406791,0.100192011149908,"itt",200,1,1,0.5,-0.7,"logit",2
0.982594717607048,0.410056620723674,-0.735478392731529,0.198847330015259,0.102361031406792,0.100192011149909,"pp",200,1,1,0.5,-0.7,"logit",2
0.982594717607036,0.410056620723668,-0.735478392731519,0.198847330015258,0.102361031406791,0.100192011149908,"iv",200,1,1,0.5,-0.7,"logit",2
1.14526107349631,0.654027213516813,-0.732917838567296,0.182276028758637,0.103015857282982,0.0910002228167475,"itt",200,1,1,0.5,-0.7,"logit",3
1.14526107349661,0.654027213517,-0.732917838567495,0.182276028758676,0.103015857283008,0.0910002228167731,"pp",200,1,1,0.5,-0.7,"logit",3
1.1452610734964,0.65402721351687,-0.732917838567356,0.182276028758649,0.10301585728299,0.0910002228167552,"iv",200,1,1,0.5,-0.7,"logit",3
0.986499663085671,0.490390791069221,-0.577366835800214,0.201781083605624,0.0911370403404956,0.118405900442829,"itt",200,1,1,0.5,-0.7,"logit",4
0.986499663085671,0.490390791069221,-0.577366835800213,0.201781083605623,0.0911370403404956,0.118405900442829,"pp",200,1,1,0.5,-0.7,"logit",4
0.98649966308567,0.490390791069221,-0.577366835800213,0.201781083605623,0.0911370403404956,0.118405900442829,"iv",200,1,1,0.5,-0.7,"logit",4
1.15138853127829,0.418150434748235,-0.591669784404376,0.198148662046684,0.0827012476512211,0.0906897450341249,"itt",200,1,1,0.5,-0.7,"logit",5
1.15138853127829,0.418150434748235,-0.591669784404376,0.198148662046684,0.0827012476512212,0.0906897450341249,"pp",200,1,1,0.5,-0.7,"logit",5
1.15138853127829,0.418150434748235,-0.591669784404377,0.198148662046684,0.0827012476512212,0.0906897450341249,"iv",200,1,1,0.5,-0.7,"logit",5
0.976336213682324,0.447240214319948,-0.731303466432525,0.184700893227234,0.0998247971519121,0.113740974301226,"itt",200,1,1,0.5,-0.7,"logit",6
0.976336213682325,0.447240214319948,-0.731303466432526,0.184700893227234,0.0998247971519121,0.113740974301226,"pp",200,1,1,0.5,-0.7,"logit",6
0.976336213682324,0.447240214319948,-0.731303466432526,0.184700893227234,0.0998247971519122,0.113740974301226,"iv",200,1,1,0.5,-0.7,"logit",6
0.735795609892583,0.570860924860874,-0.519056853065815,0.18140255270549,0.0987633767671851,0.0971594307718754,"itt",200,1,1,0.5,-0.7,"logit",7
0.735795609928758,0.570860924897911,-0.519056853097214,0.181402552710953,0.0987633767723815,0.0971594307761414,"pp",200,1,1,0.5,-0.7,"logit",7
0.735795609921918,0.570860924890642,-0.51905685308923,0.181402552709818,0.0987633767713188,0.0971594307751282,"iv",200,1,1,0.5,-0.7,"logit",7
1.10516347754515,0.5108016855678,-0.6377129174539,0.198732253632832,0.0890308188582595,0.119337580055436,"itt",200,1,1,0.5,-0.7,"logit",8
1.10516347754522,0.510801685567835,-0.637712917453954,0.198732253632843,0.0890308188582647,0.119337580055446,"pp",200,1,1,0.5,-0.7,"logit",8
1.10516347754514,0.510801685567799,-0.637712917453897,0.198732253632832,0.0890308188582592,0.119337580055436,"iv",200,1,1,0.5,-0.7,"logit",8
0.834585927573469,0.379730360805902,-0.63816023740018,0.186652218474109,0.08541638522425,0.092124802483506,"itt",200,1,1,0.5,-0.7,"logit",9
0.834585927582773,0.379730360811115,-0.638160237406287,0.186652218475167,0.0854163852246887,0.092124802484178,"pp",200,1,1,0.5,-0.7,"logit",9
0.834585927598826,0.379730360819623,-0.638160237419136,0.186652218477116,0.0854163852254766,0.0921248024855405,"iv",200,1,1,0.5,-0.7,"logit",9
1.10704813625716,0.507412673983539,-0.752007432351678,0.187272657751875,0.111729532150692,0.0996386510871428,"itt",200,1,1,0.5,-0.7,"logit",10
1.10704813625716,0.507412673983537,-0.752007432351677,0.187272657751875,0.111729532150692,0.0996386510871427,"pp",200,1,1,0.5,-0.7,"logit",10
1.10704813625716,0.507412673983538,-0.752007432351679,0.187272657751875,0.111729532150692,0.0996386510871429,"iv",200,1,1,0.5,-0.7,"logit",10
0.841682285715586,0.515077598539355,-0.80714606867484,0.186596899945058,0.0954182763002169,0.0940498294332408,"itt",200,1,1,0.5,-0.7,"logit",11
0.841682285715541,0.515077598539324,-0.807146068674792,0.186596899945051,0.0954182763002128,0.0940498294332351,"pp",200,1,1,0.5,-0.7,"logit",11
0.841682285715539,0.515077598539323,-0.80714606867479,0.186596899945051,0.0954182763002126,0.0940498294332348,"iv",200,1,1,0.5,-0.7,"logit",11
1.08705231180156,0.51182361089775,-0.797290692738099,0.207192510955165,0.11326669077141,0.111582962686077,"itt",200,1,1,0.5,-0.7,"logit",12
1.08705231180156,0.511823610897752,-0.797290692738102,0.207192510955165,0.11326669077141,0.111582962686077,"pp",200,1,1,0.5,-0.7,"logit",12
1.08705231180158,0.511823610897763,-0.797290692738119,0.207192510955169,0.113266690771412,0.11158296268608,"iv",200,1,1,0.5,-0.7,"logit",12
1.21382345049329,0.449857219559514,-0.615245647127453,0.196636756433628,0.0967551347188039,0.0997793233254638,"itt",200,1,1,0.5,-0.7,"logit",13
1.21382345049329,0.449857219559514,-0.615245647127454,0.196636756433628,0.096755134718804,0.0997793233254638,"pp",200,1,1,0.5,-0.7,"logit",13
1.21382345049329,0.449857219559514,-0.615245647127454,0.196636756433628,0.096755134718804,0.0997793233254638,"iv",200,1,1,0.5,-0.7,"logit",13
0.861175121196609,0.442952284364083,-0.846965632055633,0.178066989789079,0.0902167241536978,0.0923775042116417,"itt",200,1,1,0.5,-0.7,"logit",14
0.861175121196602,0.442952284364079,-0.846965632055626,0.178066989789078,0.0902167241536973,0.0923775042116408,"pp",200,1,1,0.5,-0.7,"logit",14
0.861175121196608,0.442952284364083,-0.846965632055633,0.178066989789079,0.0902167241536978,0.0923775042116417,"iv",200,1,1,0.5,-0.7,"logit",14
0.809539363975311,0.628406953952261,-0.667640471206688,0.182830923834066,0.0892978531884142,0.109563594835282,"itt",200,1,1,0.5,-0.7,"logit",15
0.809539363975311,0.62840695395226,-0.667640471206688,0.182830923834066,0.0892978531884141,0.109563594835282,"pp",200,1,1,0.5,-0.7,"logit",15
0.809539363975309,0.628406953952259,-0.667640471206687,0.182830923834066,0.089297853188414,0.109563594835282,"iv",200,1,1,0.5,-0.7,"logit",15
1.05245753288639,0.424554449285386,-0.698407244625809,0.183576076278088,0.11419257136088,0.116076215554661,"itt",200,1,1,0.5,-0.7,"logit",16
1.05245753288639,0.424554449285386,-0.698407244625809,0.183576076278088,0.11419257136088,0.116076215554661,"pp",200,1,1,0.5,-0.7,"logit",16
1.05245753288639,0.424554449285386,-0.698407244625809,0.183576076278088,0.11419257136088,0.116076215554661,"iv",200,1,1,0.5,-0.7,"logit",16
1.10854681160944,0.37626216493929,-0.513398157246669,0.19022563260725,0.0859768035898348,0.0995399293518,"itt",200,1,1,0.5,-0.7,"logit",17
1.10854681160944,0.37626216493929,-0.513398157246669,0.19022563260725,0.0859768035898348,0.0995399293518,"pp",200,1,1,0.5,-0.7,"logit",17
1.10854681160944,0.37626216493929,-0.513398157246669,0.19022563260725,0.0859768035898348,0.0995399293518,"iv",200,1,1,0.5,-0.7,"logit",17
0.95920095510204,0.449763094753545,-0.521989508376347,0.190530864476304,0.0896707320611292,0.0847906009548067,"itt",200,1,1,0.5,-0.7,"logit",18
0.959200955102039,0.449763094753545,-0.521989508376347,0.190530864476304,0.0896707320611292,0.0847906009548066,"pp",200,1,1,0.5,-0.7,"logit",18
0.95920095510204,0.449763094753545,-0.521989508376347,0.190530864476304,0.0896707320611293,0.0847906009548067,"iv",200,1,1,0.5,-0.7,"logit",18
0.882361889103944,0.392094607427566,-0.783170621680487,0.193759349602571,0.0960314376488986,0.106020483341889,"itt",200,1,1,0.5,-0.7,"logit",19
0.882361889103936,0.392094607427562,-0.783170621680478,0.19375934960257,0.096031437648898,0.106020483341887,"pp",200,1,1,0.5,-0.7,"logit",19
0.88236188910394,0.392094607427564,-0.783170621680482,0.19375934960257,0.0960314376488983,0.106020483341888,"iv",200,1,1,0.5,-0.7,"logit",19
0.749928489892657,0.458075302020664,-0.657009652268947,0.183908479270996,0.0894966673729515,0.0833177589794657,"itt",200,1,1,0.5,-0.7,"logit",20
